,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
0,Opp 1,2023-03-01,2024-01-25, Account 1, Small,994.0,Closed Lost,Sales Specialist 1,Country 1,Region 1,Unknown,Unknown,New Business,Campaing 1,Project/Budget Cancelled/Out of Business,Unknown,330
1,Opp 2,2024-02-19,2024-03-02, Account 2, Top 2,6.0,Closed Won,Sales Specialist 2,Country 1,Region 1,Segment 1,Unknown,New Business,Campaing 1,Automatically closed,Unknown,12
2,Opp 7,2023-10-18,2024-01-22, Account 7, Small,2.157,Closed Lost,Sales Specialist 6,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 5,Price,Unknown,96
3,Opp 8,2023-06-16,2024-02-04, Account 8, Small,183.0,Closed Lost,Sales Specialist 7,Country 1,Region 1,Unknown,Unknown,Existing Business,Campaing 5,Unable to Confirm Sale,Unknown,233
4,Opp 9,2023-05-04,2024-02-04, Account 8, Small,372.0,Closed Lost,Sales Specialist 7,Country 1,Region 1,Unknown,Unknown,New Business,Campaing 5,Unable to Confirm Sale,Unknown,276
5,Opp 10,2023-05-03,2024-02-04, Account 8, Small,429.0,Closed Lost,Sales Specialist 7,Country 1,Region 1,Unknown,Unknown,New Business,Campaing 5,Unable to Confirm Sale,Unknown,277
6,Opp 11,2023-09-28,2024-03-04, Account 7, Small,1.456,Closed Lost,Sales Specialist 8,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 5,Price,Unknown,158
7,Opp 12,2023-05-22,2024-03-07, Account 9, Top 3,551.0,Closed Won,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Campaing 5,Service & Support,Unknown,290
8,Opp 13,2023-05-22,2024-03-07, Account 10, Small,1.312,Closed Lost,Sales Specialist 7,Country 1,Region 1,Segment 3,Unknown,Existing Business,Campaing 5,Project/Budget Cancelled/Out of Business,Unknown,290
9,Opp 14,2023-06-13,2024-04-06, Account 11, Small,50.0,Closed Lost,Sales Specialist 9,Country 1,Region 1,Segment 3,Unknown,Existing Business,Campaing 5,Automatically closed,Unknown,298
10,Opp 15,2023-10-26,2024-04-08, Account 12, Small,778.0,Closed Lost,Sales Specialist 8,Country 1,Region 1,Segment 3,Referral,New Business,Campaing 5,Unable to Confirm Sale,Unknown,165
11,Opp 16,2023-06-16,2024-01-03, Account 13, Top 3,4.26,Closed Won,Sales Specialist 10,Country 2,Region 1,Segment 3,Referral,New Business,Campaing 6,Price,Unknown,201
